爱和谊 ai'he'yi
保险经纪机构设立申请委托书 bao'xian'jing'ji'ji'gou'she'li'shen'qing'wei'tuo'shu
保险经纪人 bao'xian'jing'ji'ren
保险利益 bao'xian'li'yi
保险凭证 bao'xian'ping'zheng
保险期间 bao'xian'qi'jian
保险期限 bao'xian'qi'xian
保险人 bao'xian'ren
保险市场 bao'xian'shi'chang
保险许可证管理办法 bao'xian'xu'ke'zheng'guan'li'ban'fa
保险业 bao'xian'ye
保险营销员管理规定 bao'xian'ying'xiao'yuan'guan'li'gui'ding
保险责任 bao'xian'ze'ren
保险中介机构 bao'xian'zhong'jie'ji'gou
报销 bao'xiao
保证保险 bao'zheng'bao'xian
被保险机动车行驶证 bei'bao'xian'ji'dong'che'xing'shi'zheng
被保险人 bei'bao'xian'ren
被保险人名称 bei'bao'xian'ren'ming'cheng
被动保护设施 bei'dong'bao'hu'she'shi
本年累计 ben'nian'lei'ji
泵车 beng'che
比例赔付 bi'li'pei'fu
变相打折 bian'xiang'da'zhe
变相优惠 bian'xiang'you'hui


标识 biao'zhi
殡葬服务 bin'zang'fu'wu
渤海 bo'hai
渤海财产保险股份有限公司 bo'hai'cai'chan'bao'xian'gu'fen'you'xian'gong'si
博物馆纪念馆 bo'wu'guan'ji'nian'guan
补偿原则 bu'chang'yuan'ze
补打 bu'da
不计免 bu'ji'mian
不计免赔 bu'ji'mian'pei
不计免赔险 bu'ji'mian'pei'xian
财产保险 cai'chan'bao'xian
财产保险合同 cai'chan'bao'xian'he'tong
财产保险危险单位 cai'chan'bao'xian'wei'xian'dan'wei
财产保险危险单位划分 cai'chan'bao'xian'wei'xian'dan'wei'hua'fen
财产损失保险 cai'chan'sun'shi'bao'xian
财产损失赔偿限额 cai'chan'sun'shi'pei'chang'xian'e
财产险 cai'chan'xian
财产综合险 cai'chan'zong'he'xian
彩色滤光片制造 cai'se'lv'guang'pian'zhi'zao
财务结清 cai'wu'jie'qing
财务联 cai'wu'lian
财险业竞争情报 cai'xian'ye'jing'zheng'qing'bao
餐饮业 can'yin'ye
仓栅式低速货车 cang'shan'shi'di'su'huo'che
侧三轮摩托车 ce'san'lun'mo'tuo'che
查勘 cha'kan
查勘定损 cha'kan'ding'sun
产品责任险 chan'pin'ze'ren'xian
长城人寿 chang'cheng'ren'shou
长城人寿保险股份有限公司 chang'cheng'ren'shou'bao'xian'gu'fen'you'xian'gong'si
长江养老保险股份有限公司 chang'jiang'yang'lao'bao'xian'gu'fen'you'xian'gong'si
厂牌车型 chang'pai'che'xing
长尾夹 chang'wei'jia
超限 chao'xian
超限超载 chao'xian'chao'zai
超载 chao'zai
车本 che'ben
车船税 che'chuan'shui
车队 che'dui
车架号 che'jia'hao
车均保费 che'jun'bao'fei
车辆类型 che'liang'lei'xing
车辆种类 che'liang'zhong'lei
车牌号 che'pai'hao
车牌号码 che'pai'hao'ma
车损附加险 che'sun'fu'jia'xian
车损险 che'sun'xian
车险 che'xian
车险业绩分析 che'xian'ye'ji'fen'xi
呈报 cheng'bao
承保 cheng'bao
承保笔数 cheng'bao'bi'shu
呈报表 cheng'bao'biao
承保车辆数 cheng'bao'che'liang'shu
呈报单 cheng'bao'dan
承保公司 cheng'bao'gong'si
承保公司代码 cheng'bao'gong'si'dai'ma
承保理赔 cheng'bao'li'pei
承保流程 cheng'bao'liu'cheng
承保年度制 cheng'bao'nian'du'zhi
承保清单 cheng'bao'qing'dan
承保数量 cheng'bao'shu'liang
承保意见 cheng'bao'yi'jian
承保章 cheng'bao'zhang
承保政策 cheng'bao'zheng'ce
城市环卫管理 cheng'shi'huan'wei'guan'li
承运人责任险 cheng'yun'ren'ze'ren'xian
初次登记日期 chu'ci'deng'ji'ri'qi
出单 chu'dan
出单员 chu'dan'yuan
初核 chu'he
出口信用 chu'kou'xin'yong
出险 chu'xian
出险次数 chu'xian'ci'shu
出险频度 chu'xian'pin'du
出险时间 chu'xian'shi'jian
出租企业 chu'zu'qi'ye
船舶保险 chuan'bo'bao'xian
大案 da'an
大地财产 da'di'cai'chan
大地财产保险公司 da'di'cai'chan'bao'xian'gong'si
大型轿车 da'xing'jiao'che
大型铰接客车 da'xing'jiao'jie'ke'che
大型警车 da'xing'jing'che
大型轮式拖拉机 da'xing'lun'shi'tuo'la'ji
大型普通客车 da'xing'pu'tong'ke'che
大型汽车号牌 da'xing'qi'che'hao'pai
大型企业 da'xing'qi'ye
大型双层客车 da'xing'shuang'ceng'ke'che
大型卧铺客车 da'xing'wo'pu'ke'che
大型越野客车 da'xing'yue'ye'ke'che
大型专项作业车 da'xing'zhuan'xiang'zuo'ye'che
大型专用客车 da'xing'zhuan'yong'ke'che
大众保险 da'zhong'bao'xian
大众保险股份有限公司 da'zhong'bao'xian'gu'fen'you'xian'gong'si
代理机构 dai'li'ji'gou
代理渠道 dai'li'qu'dao
代理人 dai'li'ren
代理业务 dai'li'ye'wu

代位求偿权 dai'wei'qiu'chang'quan
代位追偿 dai'wei'zhui'chang
单车保费 dan'che'bao'fei
蛋蛋车 dan'dan'che
单证 dan'zheng
单证管理 dan'zheng'guan'li
单证号 dan'zheng'hao
单证使用 dan'zheng'shi'yong
单证装订 dan'zheng'zhuang'ding
档案袋 dang'an'dai
档案盒 dang'an'he
档案夹 dang'an'jia
档案室 dang'an'shi
当期净保费 dang'qi'jing'bao'fei
当期已决赔款 dang'qi'yi'jue'pei'kuan
盗抢险 dao'qiang'xian
岛式 dao'shi
德康人寿 de'kang'ren'shou
第三方责任 di'san'fang'ze'ren
第三者 di'san'zhe
低速普通货车 di'su'pu'tong'huo'che
低速厢式货车 di'su'xiang'shi'huo'che
低速载货汽车 di'su'zai'huo'qi'che
低速自卸货车 di'su'zi'xie'huo'che
第一受益人 di'yi'shou'yi'ren
电动车 dian'dong'che
垫付 dian'fu
电器修理 dian'qi'xiu'li
电信业 dian'xin'ye
电压变化 dian'ya'bian'hua
鼎和财险 ding'he'cai'xian
定损 ding'sun
东方人寿保险股份有限公司 dong'fang'ren'shou'bao'xian'gu'fen'you'xian'gong'si
东京海上 dong'jing'hai'shang
东京海上火灾保险株式会社 dong'jing'hai'shang'huo'zai'bao'xian'zhu'shi'hui'she
东京海上日动 dong'jing'hai'shang'ri'dong
董事长 dong'shi'zhang
都邦 du'bang
都邦财产保险股份有限公司 du'bang'cai'chan'bao'xian'gu'fen'you'xian'gong'si
短期费率 duan'qi'fei'lv
短期健康保险 duan'qi'jian'kang'bao'xian
短期健康险 duan'qi'jian'kang'xian
墩式 dun'shi
二吨以下货车 er'dun'yi'xia'huo'che
二吨至十吨以下货车 er'dun'zhi'shi'dun'yi'xia'huo'che
二类单证 er'lei'dan'zheng
二十及二十座以上客车 er'shi'ji'er'shi'zuo'yi'shang'ke'che
发电机锅炉 fa'dian'ji'guo'lu
发动机号 fa'dong'ji'hao
法规 fa'gui
法国安盟保险公司 fa'guo'an'meng'bao'xian'gong'si
法律 fa'lv
法律服务 fa'lv'fu'wu
发票 fa'piao
发票联 fa'piao'lian
法人 fa'ren
法人代表 fa'ren'dai'biao
法院 fa'yuan
反洗钱 fan'xi'qian
反洗钱法 fan'xi'qian'fa
房地产业 fang'di'chan'ye
防护措施失效评估 fang'hu'cuo'shi'shi'xiao'ping'gu
防火窗 fang'huo'chuang
防火间距 fang'huo'jian'ju
防火卷帘 fang'huo'juan'lian
防火闸门 fang'huo'zha'men
非车险 fei'che'xian
非法人 fei'fa'ren
非机动车 fei'ji'dong'che
费率 fei'lv
费率浮动办法 fei'lv'fu'dong'ban'fa
费率系数 fei'lv'xi'shu
非水险 fei'shui'xian
非营业 fei'ying'ye
非营业货车 fei'ying'ye'huo'che
非营业机动车险版 fei'ying'ye'ji'dong'che'xian'ban
非营业机关 fei'ying'ye'ji'guan
非营业机关团体 fei'ying'ye'ji'guan'tuan'ti
非营业客车 fei'ying'ye'ke'che
非营业企业 fei'ying'ye'qi'ye
非营运 fei'ying'yun
分出保险 fen'chu'bao'xian
分入保险 fen'ru'bao'xian
分支机构 fen'zhi'ji'gou
风暴潮 feng'bao'chao
封皮 feng'pi
丰泰 feng'tai
丰泰保险有限公司 feng'tai'bao'xian'you'xian'gong'si
丰泰上海 feng'tai'shang'hai
风险 feng'xian
风险管理 feng'xian'guan'li
浮动办法 fu'dong'ban'fa
附加划痕险 fu'jia'hua'hen'xian
副驾驶员 fu'jia'shi'yuan
附加险 fu'jia'xian
妇幼保健活动 fu'you'bao'jian'huo'dong
副总经理 fu'zong'jing'li
港口工程 gang'kou'gong'cheng
高保额 gao'bao'e
高层建筑 gao'ceng'jian'zhu
高等教育 gao'deng'jiao'yu
高风险 gao'feng'xian
个人保险代理人 ge'ren'bao'xian'dai'li'ren
个人代理 ge'ren'dai'li
个人代理业务 ge'ren'dai'li'ye'wu
公安警车号牌 gong'an'jing'che'hao'pai
公安局消防局 gong'an'ju'xiao'fang'ju
公安民用号牌 gong'an'min'yong'hao'pai
共保 gong'bao
公车私户 gong'che'si'hu
工程保险 gong'cheng'bao'xian
公共管理和社会组织 gong'gong'guan'li'he'she'hui'zu'zhi
公共设施管理 gong'gong'she'shi'guan'li
公函 gong'han
工会 gong'hui
公交企业 gong'jiao'qi'ye
公司法 gong'si'fa
公章 gong'zhang
公众责任险 gong'zhong'ze'ren'xian
购车发票 gou'che'fa'piao
固定仪器 gu'ding'yi'qi
股东 gu'dong
股份有限公司 gu'fen'you'xian'gong'si
雇主责任险 gu'zhu'ze'ren'xian
挂车 gua'che
挂车号牌 gua'che'hao'pai
关键风险 guan'jian'feng'xian
罐式低速货车 guan'shi'di'su'huo'che
广播电视传输服务 guang'bo'dian'shi'chuan'shu'fu'wu
广播电视影像制作 guang'bo'dian'shi'ying'xiang'zhi'zuo
光大永明人寿保险有限公司 guang'da'yong'ming'ren'shou'bao'xian'you'xian'gong'si
广电日生人寿保险有限公司 guang'dian'ri'sheng'ren'shou'bao'xian'you'xian'gong'si
广告业 guang'gao'ye
国产玻璃 guo'chan'bo'li
国产车 guo'chan'che
过户 guo'hu
国际组织 guo'ji'zu'zhi
国家基本医疗保险标准 guo'jia'ji'ben'yi'liao'bao'xian'biao'zhun
国家及政府机关 guo'jia'ji'zheng'fu'ji'guan
国民经济行业分类 guo'min'jing'ji'hang'ye'fen'lei
国瑞人寿 guo'rui'ren'shou
国寿财 guo'shou'cai
国寿财产 guo'shou'cai'chan
国泰财险 guo'tai'cai'xian
国务院保险监督管理机构 guo'wu'yuan'bao'xian'jian'du'guan'li'ji'gou
国有独资公司 guo'you'du'zi'gong'si
国元农业 guo'yuan'nong'ye
海尔纽约人寿保险有限公司 hai'er'niu'yue'ren'shou'bao'xian'you'xian'gong'si
海康人寿保险有限公司 hai'kang'ren'shou'bao'xian'you'xian'gong'si
海上保险 hai'shang'bao'xian
海商法 hai'shang'fa
韩国三星火灾海上保险有限公司 han'guo'san'xing'huo'zai'hai'shang'bao'xian'you'xian'gong'si
函件 han'jian
行业协会 hang'ye'xie'hui
号牌号码 hao'pai'hao'ma
号牌种类 hao'pai'zhong'lei
号牌种类代码 hao'pai'zhong'lei'dai'ma
核保 he'bao
核保人 he'bao'ren
合伙企业 he'huo'qi'ye
核赔 he'pei
合同 he'tong
合同分保 he'tong'fen'bao
合众人寿保险股份有限公司 he'zhong'ren'shou'bao'xian'gu'fen'you'xian'gong'si
合资 he'zi
合作维修厂 he'zuo'wei'xiu'chang
恒安标准人寿保险有限公司 heng'an'biao'zhun'ren'shou'bao'xian'you'xian'gong'si
恒康天安 heng'kang'tian'an
恒康天安人寿保险有限公司 heng'kang'tian'an'ren'shou'bao'xian'you'xian'gong'si
恒泰人寿 heng'tai'ren'shou
红头文件 hong'tou'wen'jian
红章 hong'zhang
互联网服务 hu'lian'wang'fu'wu
互碰赔偿处理规则 hu'peng'pei'chang'chu'li'gui'ze
华安财产 hua'an'cai'chan
华安财产保险股份有限公司 hua'an'cai'chan'bao'xian'gu'fen'you'xian'gong'si
划痕险 hua'hen'xian
华农 hua'nong
华泰财产 hua'tai'cai'chan
华泰财产保险公司 hua'tai'cai'chan'bao'xian'gong'si
华泰财产保险股份有限公司 hua'tai'cai'chan'bao'xian'gu'fen'you'xian'gong'si
华泰资产管理有限公司 hua'tai'zi'chan'guan'li'you'xian'gong'si
华夏人寿保险股份有限公司 hua'xia'ren'shou'bao'xian'gu'fen'you'xian'gong'si
化学机械研磨 hua'xue'ji'xie'yan'mo
化学品供应及储存 hua'xue'pin'gong'ying'ji'chu'cun
化学气相沉积 hua'xue'qi'xiang'chen'ji
环境管理业 huan'jing'guan'li'ye
皇家太阳 huang'jia'tai'yang
皇家太阳联合保险公司 huang'jia'tai'yang'lian'he'bao'xian'gong'si
汇丰人寿 hui'feng'ren'shou
会议室 hui'yi'shi
混凝土 hun'ning'tu
货币单位 huo'bi'dan'wei
活动室 huo'dong'shi
或然性 huo'ran'xing
货物运输保险 huo'wu'yun'shu'bao'xian
货运企业 huo'yun'qi'ye
货运险 huo'yun'xian
火灾隔断设施 huo'zai'ge'duan'she'shi
火灾公众责任险 huo'zai'gong'zhong'ze'ren'xian
疾病防控活动 ji'bing'fang'kong'huo'dong
计财部 ji'cai'bu
机场 ji'chang
机动车交通事故责任强制保险 ji'dong'che'jiao'tong'shi'gu'ze'ren'qiang'zhi'bao'xian
机动车交通责任强制保险条例 ji'dong'che'jiao'tong'ze'ren'qiang'zhi'bao'xian'tiao'li
机动车辆保险 ji'dong'che'liang'bao'xian
机动车辆保险条款 ji'dong'che'liang'bao'xian'tiao'kuan
给付保险金 ji'fu'bao'xian'jin
机构代码 ji'gou'dai'ma
机关团体 ji'guan'tuan'ti
挤靠力 ji'kao'li
技术密集 ji'shu'mi'ji
计算机服务 ji'suan'ji'fu'wu
集装箱专用运输车 ji'zhuang'xiang'zhuan'yong'yun'shu'che
嘉禾人寿保险股份有限公司 jia'he'ren'shou'bao'xian'gu'fen'you'xian'gong'si
驾龄 jia'ling
驾驶人 jia'shi'ren
驾驶员 jia'shi'yuan
驾驶证 jia'shi'zheng
家庭财产保险 jia'ting'cai'chan'bao'xian
家庭自用 jia'ting'zi'yong
家庭自用车 jia'ting'zi'yong'che
家用机动车险版 jia'yong'ji'dong'che'xian'ban
驾员险 jia'yuan'xian
驾照 jia'zhao
简单赔付率 jian'dan'pei'fu'lv
剪刀 jian'dao
见费出单 jian'fei'chu'dan
间接损失 jian'jie'sun'shi
健康保险 jian'kang'bao'xian
健康险 jian'kang'xian
兼业代理 jian'ye'dai'li
兼业代理业务 jian'ye'dai'li'ye'wu
建筑安装工程 jian'zhu'an'zhuang'gong'cheng
建筑物高度 jian'zhu'wu'gao'du
轿车 jiao'che
缴费方式 jiao'fei'fang'shi
缴费清单 jiao'fei'qing'dan
交接线 jiao'jie'xian
教练摩托车号牌 jiao'lian'mo'tuo'che'hao'pai
教练汽车号牌 jiao'lian'qi'che'hao'pai
交强险 jiao'qiang'xian
交强险版 jiao'qiang'xian'ban
交强险保单 jiao'qiang'xian'bao'dan
交强险标识 jiao'qiang'xian'biao'zhi
交强险承保实务 jiao'qiang'xian'cheng'bao'shi'wu
交强险承保实务规程 jiao'qiang'xian'cheng'bao'shi'wu'gui'cheng
交强险责任限额 jiao'qiang'xian'ze'ren'xian'e
胶水 jiao'shui
交通事故处理程序规定 jiao'tong'shi'gu'chu'li'cheng'xu'gui'ding
交通事故人员创伤临床诊疗指南 jiao'tong'shi'gu'ren'yuan'chuang'shang'lin'chuang'zhen'liao'zhi'nan
交通运输和邮政业 jiao'tong'yun'shu'he'you'zheng'ye
接管期限 jie'guan'qi'xian
洁净室 jie'jing'shi
接受人 jie'shou'ren
截止日期 jie'zhi'ri'qi
进口玻璃 jin'kou'bo'li
进口车 jin'kou'che
金融服务业 jin'rong'fu'wu'ye
金融业 jin'rong'ye
金盛人寿保险有限公司 jin'sheng'ren'shou'bao'xian'you'xian'gong'si
净保费 jing'bao'fei
警备摩托车 jing'bei'mo'tuo'che
净费率 jing'fei'lv
经纪费率 jing'ji'fei'lv
经纪机构 jing'ji'ji'gou
经纪业务 jing'ji'ye'wu
精算 jing'suan
精算师 jing'suan'shi
境外摩托车号牌 jing'wai'mo'tuo'che'hao'pai
境外汽车号牌 jing'wai'qi'che'hao'pai
精友 jing'you
净折扣 jing'zhe'kou
旧车 jiu'che
就低不就高 jiu'di'bu'jiu'gao
就低原则 jiu'di'yuan'ze
就高不就低 jiu'gao'bu'jiu'di
就高原则 jiu'gao'yuan'ze
居民服务和其他服务业 ju'min'fu'wu'he'qi'ta'fu'wu'ye
巨灾风险 ju'zai'feng'xian
军队号牌 jun'dui'hao'pai
军警 jun'jing
可保利益 ke'bao'li'yi
客户 ke'hu
客户代码 ke'hu'dai'ma
科技交流和推广服务 ke'ji'jiao'liu'he'tui'guang'fu'wu
科隆再保险有限公司 ke'long'zai'bao'xian'you'xian'gong'si
科研技术服务业 ke'yan'ji'shu'fu'wu'ye
快餐服务 kuai'can'fu'wu
会计年度制 kuai'ji'nian'du'zhi
昆仑健康保险股份有限公司 kun'lun'jian'kang'bao'xian'gu'fen'you'xian'gong'si
拉杆夹 la'gan'jia
冷藏 leng'cang
利安人寿 li'an'ren'shou
利宝保险有限公司 li'bao'bao'xian'you'xian'gong'si
利宝互助 li'bao'hu'zhu
历年制 li'nian'zhi
历年制赔付率 li'nian'zhi'pei'fu'lv
理赔流程 li'pei'liu'cheng
理赔实务 li'pei'shi'wu
理算 li'suan
离子植入 li'zi'zhi'ru
联邦上海 lian'bang'shang'hai
联合收割机 lian'he'shou'ge'ji
联泰大都会人寿保险有限公司 lian'tai'da'du'hui'ren'shou'bao'xian'you'xian'gong'si
联系单 lian'xi'dan
两次灾害 liang'ci'zai'hai
疗养院 liao'yang'yuan
临分 lin'fen
临时分保 lin'shi'fen'bao
临时入境摩托车号牌 lin'shi'ru'jing'mo'tuo'che'hao'pai
临时入境汽车号牌 lin'shi'ru'jing'qi'che'hao'pai
临时行驶车号牌 lin'shi'xing'shi'che'hao'pai
领馆摩托车号牌 ling'guan'mo'tuo'che'hao'pai
领馆汽车号牌 ling'guan'qi'che'hao'pai
流水号 liu'shui'hao
六座以下客车 liu'zuo'yi'xia'ke'che
六座至二十座以下客车 liu'zuo'zhi'er'shi'zuo'yi'xia'ke'che
陆域 lu'yu
轮式平地机械 lun'shi'ping'di'ji'xie
轮式挖掘机械 lun'shi'wa'jue'ji'xie
轮式装载机械 lun'shi'zhuang'zai'ji'xie
律师责任险 lv'shi'ze'ren'xian
旅行社 lv'xing'she
旅行社责任险 lv'xing'she'ze'ren'xian
旅游饭店 lv'you'fan'dian
满期保费 man'qi'bao'fei
满期出险频度 man'qi'chu'xian'pin'du
满期赔付率 man'qi'pei'fu'lv
毛保费 mao'bao'fei
毛费率 mao'fei'lv
毛利率 mao'li'lv
美国联邦保险公司上海分公司 mei'guo'lian'bang'bao'xian'gong'si'shang'hai'fen'gong'si
美国联邦保险股份有限公司 mei'guo'lian'bang'bao'xian'gu'fen'you'xian'gong'si
美国友邦保险有限公司 mei'guo'you'bang'bao'xian'you'xian'gong'si
煤矿雇主责任险 mei'kuang'gu'zhu'ze'ren'xian
美亚 mei'ya
美亚保险公司 mei'ya'bao'xian'gong'si
面包车 mian'bao'che
灭失 mie'shi
民安 min'an
民事合同 min'shi'he'tong
摩托车 mo'tuo'che
摩托车号牌 mo'tuo'che'hao'pai
目标客户 mu'biao'ke'hu
慕尼黑再保险公司 mu'ni'hei'zai'bao'xian'gong'si
内部稽核 nei'bu'ji'he
内控 nei'kong
内控部 nei'kong'bu
内联单 nei'lian'dan
逆向选择 ni'xiang'xuan'ze
年龄 nian'ling
农业保险 nong'ye'bao'xian
农业险 nong'ye'xian
农业型拖拉机 nong'ye'xing'tuo'la'ji
农用车 nong'yong'che
农用运输车号牌 nong'yong'yun'shu'che'hao'pai
牌照号 pai'zhao'hao
赔偿处理 pei'chang'chu'li
赔付金额 pei'fu'jin'e
赔付率 pei'fu'lv
赔付时间 pei'fu'shi'jian
赔款支出 pei'kuan'zhi'chu
批单 pi'dan
批单保费 pi'dan'bao'fei
批单号 pi'dan'hao
批发和零售业 pi'fa'he'ling'shou'ye
批复 pi'fu
批改保费 pi'gai'bao'fei
批改变化 pi'gai'bian'hua
批改原因 pi'gai'yuan'yin
批退比例 pi'tui'bi'li
偏差率 pian'cha'lv
骗赔 pian'pei
平安财产 ping'an'cai'chan
平安财产保险公司 ping'an'cai'chan'bao'xian'gong'si
平安养老保险股份有限公司 ping'an'yang'lao'bao'xian'gu'fen'you'xian'gong'si
平均费率 ping'jun'fei'lv
普通二轮摩托车 pu'tong'er'lun'mo'tuo'che
普通正三轮摩托车 pu'tong'zheng'san'lun'mo'tuo'che
起保日期 qi'bao'ri'qi
企财险 qi'cai'xian
汽车摩托车维护和保养 qi'che'mo'tuo'che'wei'hu'he'bao'yang
期初未决赔款 qi'chu'wei'jue'pei'kuan
期初未满期保费 qi'chu'wei'man'qi'bao'fei
汽罐 qi'guan
期末未决赔款 qi'mo'wei'jue'pei'kuan
期末未满期保费 qi'mo'wei'man'qi'bao'fei
其它 qi'ta
汽修厂 qi'xiu'chang
企业财产保险 qi'ye'cai'chan'bao'xian
企业法人 qi'ye'fa'ren
企业管理服务 qi'ye'guan'li'fu'wu
签单保费 qian'dan'bao'fei
签单日期 qian'dan'ri'qi
轻便二轮摩托车 qing'bian'er'lun'mo'tuo'che
轻便摩托车号牌 qing'bian'mo'tuo'che'hao'pai
轻便正三轮摩托车 qing'bian'zheng'san'lun'mo'tuo'che
轻型半挂牵引车 qing'xing'ban'gua'qian'yin'che
轻型封闭货车 qing'xing'feng'bi'huo'che
轻型罐式半挂车 qing'xing'guan'shi'ban'gua'che
轻型罐式货车 qing'xing'guan'shi'huo'che
轻型罐式全挂车 qing'xing'guan'shi'quan'gua'che
轻型集装箱车 qing'xing'ji'zhuang'xiang'che
轻型旅居全挂车 qing'xing'lv'ju'quan'gua'che
轻型平板半挂车 qing'xing'ping'ban'ban'gua'che
轻型平板货车 qing'xing'ping'ban'huo'che
轻型平板全挂车 qing'xing'ping'ban'quan'gua'che
轻型普通半挂车 qing'xing'pu'tong'ban'gua'che
轻型普通货车 qing'xing'pu'tong'huo'che
轻型普通全挂车 qing'xing'pu'tong'quan'gua'che
轻型全挂牵引车 qing'xing'quan'gua'qian'yin'che
轻型特殊结构货车 qing'xing'te'shu'jie'gou'huo'che
轻型厢式半挂车 qing'xing'xiang'shi'ban'gua'che
轻型厢式货车 qing'xing'xiang'shi'huo'che
轻型厢式全挂车 qing'xing'xiang'shi'quan'gua'che
轻型专项作业车 qing'xing'zhuan'xiang'zuo'ye'che
轻型专项作业全挂车 qing'xing'zhuan'xiang'zuo'ye'quan'gua'che
轻型自卸半挂车 qing'xing'zi'xie'ban'gua'che
轻型自卸货车 qing'xing'zi'xie'huo'che
轻型自卸全挂车 qing'xing'zi'xie'quan'gua'che
渠道 qu'dao
渠道实名制 qu'dao'shi'ming'zhi
渠道业务 qu'dao'ye'wu
权限 quan'xian
裙房 qun'fang
群众团体及社会团体 qun'zhong'tuan'ti'ji'she'hui'tuan'ti
燃油税 ran'you'shui
人保 ren'bao
人民政协和民主党派 ren'min'zheng'xie'he'min'zhu'dang'pai
人事部 ren'shi'bu
人寿保险 ren'shou'bao'xian
人为因素风险评估 ren'wei'yin'su'feng'xian'ping'gu
日本财产 ri'ben'cai'chan
日本财产保险公司大连分公司 ri'ben'cai'chan'bao'xian'gong'si'da'lian'fen'gong'si
如实告知义务 ru'shi'gao'zhi'yi'wu
软件业 ruan'jian'ye
瑞福德健康保险股份有限公司 rui'fu'de'jian'kang'bao'xian'gu'fen'you'xian'gong'si
瑞士再保险公司 rui'shi'zai'bao'xian'gong'si
瑞泰人寿保险有限公司 rui'tai'ren'shou'bao'xian'you'xian'gong'si
三井住友 san'jing'zhu'you
三井住友海上火灾保险公司 san'jing'zhu'you'hai'shang'huo'zai'bao'xian'gong'si
三类单证 san'lei'dan'zheng
三轮摩托车号牌 san'lun'mo'tuo'che'hao'pai
三轮农用运输车 san'lun'nong'yong'yun'shu'che
三星火灾 san'xing'huo'zai
三者险 san'zhe'xian
缮制 shan'zhi
上海安信 shang'hai'an'xin
上户 shang'hu
上年同期 shang'nian'tong'qi
商务服务 shang'wu'fu'wu
商业楼宇 shang'ye'lou'yu
商业三责附加险 shang'ye'san'ze'fu'jia'xian
商业三责险 shang'ye'san'ze'xian
商业险保单 shang'ye'xian'bao'dan
社会保障业 she'hui'bao'zhang'ye
社会福利业 she'hui'fu'li'ye
设立申请书 she'li'shen'qing'shu
社团 she'tuan
射幸合同 she'xing'he'tong
摄影扩印服务 she'ying'kuo'yin'fu'wu
身份证 shen'fen'zheng
审核意见 shen'he'yi'jian
审计 shen'ji
审计部 shen'ji'bu
审批 shen'pi
省级 sheng'ji
省级报纸 sheng'ji'bao'zhi
声明 sheng'ming
生命人寿保险股份有限公司 sheng'ming'ren'shou'bao'xian'gu'fen'you'xian'gong'si
十吨及十吨以上货车 shi'dun'ji'shi'dun'yi'shang'huo'che
使馆摩托车号牌 shi'guan'mo'tuo'che'hao'pai
使馆汽车号牌 shi'guan'qi'che'hao'pai
石化 shi'hua
石化企业 shi'hua'qi'ye
实际赔付率 shi'ji'pei'fu'lv
蚀刻 shi'ke
